Subgroup,N,Deaths,HR_per_SD,CI_low,CI_high,P
Overall,115,64,0.753262471269893,0.5986187550493055,0.9478559531214351,0.01565839711578993
Fluke-negative,65,25,0.7156886750192505,0.43398053677442705,1.1802609475480814,0.18998092111872278
Fluke-positive,50,39,0.9061744783467309,0.6891407375840491,1.191559489119333,0.48061363273017044
