id,A_log2_qnorm_tumor_batchadj_score,A_log2_qnorm_tumor_batchadj_sd,A_log2_qnorm_tumor_batchadj_high,B_log2_qnorm_tumor_no_batchadj_score,B_log2_qnorm_tumor_no_batchadj_sd,B_log2_qnorm_tumor_no_batchadj_high,C_log2_raw_batchadj_score,C_log2_raw_batchadj_sd,C_log2_raw_batchadj_high,D_log2_qnorm_all120_batchadj_score,D_log2_qnorm_all120_batchadj_sd,D_log2_qnorm_all120_batchadj_high,E_log2_qnorm_within_batch_batchadj_score,E_log2_qnorm_within_batch_batchadj_sd,E_log2_qnorm_within_batch_batchadj_high,F_qnorm_raw_then_log2_tumor_batchadj_score,F_qnorm_raw_then_log2_tumor_batchadj_sd,F_qnorm_raw_then_log2_tumor_batchadj_high,G_qnorm_raw_within_batch_then_log2_batchadj_score,G_qnorm_raw_within_batch_then_log2_batchadj_sd,G_qnorm_raw_within_batch_then_log2_batchadj_high
CCA_BR_1,0.6071378779006724,1.5101297120477855,1,0.6006735458394639,1.5284220997411049,1,0.6790354168396056,1.0228527212095333,1,0.6071729269629238,1.5102029137254736,1,0.6038892393935977,1.4977901189238436,1,0.6068215287567166,1.5094007508751897,1,0.6041685600518181,1.498723783170859,1
CCA_BR_2,-0.21264794075445648,-0.5223878182295354,0,-0.2032837976572675,-0.5111495099773172,0,-0.2617852807736962,-0.38156584555385037,0,-0.21265207009504777,-0.5223946471128006,0,-0.2093906862942745,-0.5128242100017913,0,-0.2125472932898697,-0.5221578690054968,0,-0.20953837337592354,-0.5132893372122055,0
CCA_FR_1,0.07549232967975886,0.19200628021578617,1,0.0812570655612509,0.21070653265938066,1,0.4299516702537388,0.6510307159415756,1,0.07555382248557976,0.19215613675062146,1,0.07605349268355287,0.19285920629034595,1,0.07550384022356284,0.19204158246245825,1,0.07611627373096876,0.19303486166903636,1
CCA_FR_2,0.348444158680943,0.8687432580233412,1,0.34468415532400776,0.8789987223594299,1,0.49482597425202635,0.7478724173116442,1,0.3484701973262687,0.8687995177218197,1,0.34624581715283925,0.860836543471254,1,0.34852478876106524,0.8689749078286368,1,0.34663307312697106,0.861928448916715,1
CCA_FR_3,0.4484192541277484,1.116614262208477,1,0.4411263461396425,1.12366438274271,1,-0.008939006448728484,-0.004127293128542895,0,0.4484708327964958,1.1167317574906541,1,0.4418230405363531,1.0971253399656256,1,0.44852082247240554,1.1169069730648253,1,0.44214431971606155,1.0980944116078235,1
CCA_FR_4,0.3418908428618903,0.8524954418492099,1,0.33734183391760447,0.8603718755359467,1,0.37397846766122556,0.5674762138334126,1,0.34195427655492855,0.8526445520718702,1,0.3407780184576531,0.8473188922210726,1,0.34188950145129726,0.8525232504469533,1,0.34105989076240223,0.8481479149441656,1
CCA_FR_7,0.2622203735123533,0.6549662556722554,1,0.260683326332108,0.6658957419705364,1,0.1483794926025568,0.23071131270088,1,0.2622279279980161,0.654978486517805,1,0.2588475385261005,0.64476797251553,1,0.2623260646251871,0.6552521540099614,1,0.25909187943279394,0.6454696440928275,1
CCA_FR_8,0.5625089781351238,1.3994800532390048,1,0.5525351618134905,1.4062991013117767,1,0.8764989746088431,1.3176182248743522,1,0.5624945674631376,1.3994315602446534,1,0.5589444744657842,1.3866763615080018,1,0.5622982016069948,1.399008767896318,1,0.5591506923040354,1.387410315337109,1
CCA_FR_9,-0.10496625544622526,-0.25540965381356995,0,-0.0956773076701074,-0.2381609692610974,0,-0.6073453084519118,-0.897403688018099,0,-0.10492263912992758,-0.255300353335473,0,-0.10505660389124166,-0.25488645148965605,0,-0.10490309620448997,-0.25526280223603526,0,-0.10511833758028791,-0.25509504953830686,0
CCA_FR_10,-0.18353610565061712,-0.45021004466891684,0,-0.17126089273482947,-0.4299101155382484,0,-0.4513840402683792,-0.6645911007859409,0,-0.18356720546966943,-0.4502843490528414,0,-0.18050373358148972,-0.4414090438224494,0,-0.18314960715669332,-0.4492686876485256,0,-0.1803353303630798,-0.4410804088091513,0
CCA_FR_11,0.5689361272331064,1.4154150607910825,1,0.5643500858898056,1.436272561859101,1,0.46941795021116856,0.7099443606710177,1,0.5689058182202948,1.4153270168331757,1,0.5668373086177805,1.406189256073074,1,0.5688218936029473,1.4151837337373667,1,0.5674615849292454,1.4079602508446971,1
CCA_FR_12,0.21581629044344536,0.5399153360689755,1,0.21580487192833908,0.5520429085703749,1,-0.16028034128164342,-0.23004343325736173,0,0.21582398146726384,0.5399288736490148,1,0.21442951574731137,0.5349564423882588,1,0.2160202262686345,0.5404405788891455,1,0.21470250324635537,0.5357102164368445,1
